用户ID,订单编号,商品ID,根类别ID,购买数量,时间戳,孩子出生日期,孩子性别,孩子年龄
513441334,19909384116,50010557,50008168,1,2012-12-12,2011-01-05,男,1.94
377550424,15771663914,50015841,28,1,2012-11-23,2011-06-20,男,1.43
47342027,14066344263,50013636,50008168,1,2012-09-11,2010-10-08,男,1.93
119784861,20796936076,50140021,50008168,1,2012-11-29,2012-03-27,女,0.68
159129426,15198386301,50013711,50008168,2,2012-08-08,2010-08-25,女,1.96
757254614,35900705534,50013711,50008168,1,2013-12-20,2009-05-28,女,4.57
275261625,23062392785,50010558,50008168,1,2013-06-10,2010-05-25,女,3.05
35832151,19178578964,50012451,50008168,1,2014-02-28,2009-04-01,男,4.92
1834895775,43246645145,50010544,50008168,1,2015-01-02,2009-05-15,女,5.64
131021484,15647837835,50006602,50008168,1,2012-09-10,2009-10-08,女,2.93
31795068,20749016489,121394024,50008168,1,2014-12-12,2007-11-24,女,7.05
20995405,36818435772,50013636,50008168,1,2014-07-31,2011-11-14,女,2.71
504804896,36740523560,50012361,122650008,1,2014-11-18,2010-02-20,女,4.75
669302326,8945822711,211122,38,6,2013-05-26,2010-04-06,女,3.14
1027969540,37554024452,50012442,50008168,1,2014-03-26,2013-02-28,女,1.07
419554296,37829194505,50024153,28,1,2014-12-31,2012-07-09,男,2.48
717297456,18852684292,50008727,50014815,1,2013-10-18,2013-06-12,男,0.35
874621830,26692404101,50012359,122650008,1,2013-11-25,2010-12-20,男,2.93
711528325,15799901720,50012451,50008168,1,2014-02-28,2010-11-14,男,3.29
56736746,13725195879,50008817,28,10,2013-01-05,2012-11-05,男,0.17
91177545,38600977799,121466023,50008168,1,2014-10-29,2010-02-03,女,4.74
136997100,35447551022,50013636,50008168,1,2013-11-11,2013-01-13,男,0.83
707774847,35505954971,121472022,50008168,1,2014-12-30,2011-03-31,女,3.75
161512438,36797644528,50012564,50014815,1,2014-04-09,2013-03-04,女,1.1
2104818212,40553447811,121540027,28,1,2014-11-11,2014-03-27,女,0.63
87659835,4600695918,50023732,28,1,2013-04-24,2011-09-30,男,1.57
188799366,23990428301,50012451,50008168,1,2014-03-19,2011-11-30,男,2.3
51587524,22752544214,50010558,50008168,1,2013-04-13,2009-02-02,男,4.19
51150884,41074778874,50007011,50008168,1,2014-09-12,2008-11-29,男,5.79
286307391,12277146635,50004457,50014815,1,2012-11-25,2011-10-09,女,1.13
283250293,20261713153,50006602,50008168,1,2013-10-07,2013-06-13,男,0.32
14905422,40739265133,50234023,50014815,1,2015-02-05,2011-04-29,男,3.78
410823343,10682626256,50009541,50014815,1,2012-11-07,2011-03-26,男,1.62
211057395,17690851568,50010557,50008168,1,2012-12-22,2008-03-11,女,4.79
160688669,20803560636,50007012,50008168,1,2012-12-29,2011-09-15,男,1.29
325249615,18350150733,50016706,50022520,1,2013-09-27,2011-01-03,女,2.73
412025994,37347696228,50023670,28,1,2014-06-21,2013-04-02,男,1.22
116466705,16949927732,50010549,50008168,1,2013-11-11,2013-01-01,女,0.86
116466705,37893437620,50010558,50008168,1,2014-03-29,2013-01-01,女,1.24
711496874,15079145376,50016704,50022520,1,2014-03-26,2011-10-25,女,2.42
693449541,35676960895,50010544,50008168,1,2013-11-11,2007-01-13,男,6.83
848302497,42258876583,50013636,50008168,1,2014-12-12,2014-02-18,男,0.81
197066280,14829521668,50015841,28,2,2012-11-25,2008-05-10,女,4.55
13802003,26680928161,121408024,50008168,2,2014-09-12,2011-10-22,男,2.89
300031861,15556186232,50023632,50022520,1,2014-02-18,2014-01-05,女,0.12
139924698,37310042870,50012361,122650008,1,2014-05-26,2012-01-17,男,2.36
2230873305,36078196999,50009540,50014815,1,2014-11-05,2012-02-01,女,2.76
426768576,13569192180,121540027,28,1,2014-03-26,2013-04-01,男,0.98
72875105,14151218336,50009549,50014815,1,2012-09-17,2012-08-02,女,0.13
106828323,19622521690,50012835,50014815,1,2014-06-15,2014-02-01,女,0.37
775276242,37469217502,50012364,122650008,1,2014-04-16,2011-02-01,女,3.21
761730076,27216992100,50024842,50008168,4,2013-09-17,2008-02-09,女,5.61
50839954,19707779331,211122,38,6,2013-10-27,2011-08-11,女,2.21
759253421,35139641534,121394024,50008168,1,2014-07-13,2014-02-27,女,0.37
31036295,35401823936,50006602,50008168,1,2013-10-17,2012-02-05,男,1.7
229463294,15226482483,50018831,50014815,1,2014-08-12,2013-07-07,女,1.1
255635397,21825255344,50018831,50014815,1,2014-10-18,2013-06-07,男,1.36
67170281,13973014432,50013711,50008168,1,2012-09-19,2012-06-12,男,0.27
204505282,17968651336,50146022,50008168,1,2012-12-11,2010-10-06,女,2.18
756621534,40519345896,121394024,50008168,1,2014-12-03,2014-10-16,男,0.13
66738967,19533837621,50013711,50008168,1,2013-09-29,2004-11-09,女,8.89
1017989581,35886834108,50006235,50008168,1,2014-12-01,2014-08-04,男,0.33
13735440,18163455793,211122,38,6,2013-12-19,2012-03-23,女,1.74
2114469016,38650644752,50023797,28,1,2014-08-09,2014-04-16,女,0.32
321329368,16663600865,50013207,50008168,1,2012-08-25,2007-04-28,女,5.33
842436337,19152924798,50013636,50008168,1,2013-10-15,2011-10-16,男,2.0
807555311,40558883295,50010555,50008168,1,2014-11-11,2014-02-13,男,0.74
12519465,18981655392,50018831,50014815,1,2013-09-10,2013-07-05,男,0.18
112842020,40114158465,50006097,28,1,2014-09-10,2010-11-25,女,3.79
51880578,25498040503,50023709,28,1,2013-08-07,2011-01-07,女,2.58
191156136,22333639799,50012373,50022520,1,2013-10-16,2013-04-15,女,0.5
124613323,15186722756,50006095,28,1,2012-07-02,2011-04-20,男,1.2
250900287,22915764719,50018202,38,6,2014-04-26,2013-07-08,男,0.8
72231900,18192190705,251725,28,1,2014-04-26,2011-02-21,女,3.18
305489040,41627297374,50013636,50008168,1,2014-10-13,2013-08-11,男,1.17
360647838,38913401898,50010555,50008168,1,2014-06-15,2014-01-20,女,0.4
13503298,19381961259,50023886,50008168,1,2013-08-01,2012-09-28,女,0.84
628367479,38794320798,50013177,28,1,2014-11-06,2012-01-26,男,2.78
818864954,38028790160,50006602,50008168,4,2014-07-22,2014-07-13,男,0.02
675579268,41428238718,50011993,28,1,2015-01-18,2013-09-16,女,1.34
1081311286,41329247014,50013636,50008168,1,2014-11-03,2013-10-31,女,1.01
17289460,17210154076,50012361,122650008,1,2013-03-07,2010-12-11,男,2.24
904942807,41366623825,50013636,50008168,1,2014-11-03,2010-11-05,女,4.0
779743331,36418774349,50012363,122650008,1,2014-10-21,2013-09-12,男,1.11
114558810,12254334853,50010236,50014815,1,2014-05-08,2008-09-14,女,5.65
722440556,43511676953,50013207,50008168,1,2015-01-20,2014-10-03,男,0.3
357851268,22174892020,50023670,28,1,2013-08-02,2012-06-21,男,1.12
172453374,17551736567,50013175,28,1,2013-04-05,2013-02-06,男,0.16
703730908,15453877039,50012451,50008168,1,2012-08-20,2010-05-02,女,2.3
793020597,20239214726,50013636,50008168,1,2013-12-04,2012-04-27,女,1.61
726045779,20083542325,50013636,50008168,1,2013-10-05,2012-09-04,女,1.08
752822677,24555520405,50013187,28,2,2014-01-23,2013-02-26,男,0.91
377473718,37907720818,121452056,50008168,1,2014-07-18,2011-12-26,男,2.56
40216027,13777585537,50008895,28,1,2013-10-13,2011-01-24,女,2.72
118942006,19583152851,50023663,28,1,2014-12-26,2012-09-29,男,2.24
1684502624,43540340971,50006235,50008168,1,2015-01-15,2011-05-25,男,3.65
61588159,9680854286,211122,38,2,2014-08-02,2013-08-13,女,0.97
2262837380,42999336100,50010549,50008168,1,2015-01-06,2011-09-14,女,3.32
1033466085,19526078410,50012364,122650008,1,2013-10-04,2012-04-11,女,1.48
24079156,36661272201,50013636,50008168,1,2014-03-18,2010-12-31,男,3.21
67555313,16150518596,50013636,50008168,1,2012-11-06,2007-06-01,女,5.44
154492646,25458044289,50012449,50008168,1,2013-06-06,2011-11-13,男,1.56
173329093,35673961051,50013711,50008168,2,2014-04-09,2013-06-15,女,0.82
416284711,18527612360,50012449,50008168,1,2013-07-23,2013-03-24,女,0.33
223475170,35816820172,50008859,28,1,2014-03-08,2005-12-18,男,8.22
723397857,16718273674,50012359,122650008,1,2014-10-08,2011-09-17,女,3.06
1055473418,20945084205,50013636,50008168,2,2012-12-01,2010-11-03,男,2.08
32802731,25934548148,50012359,122650008,1,2013-08-27,2005-11-30,女,7.75
201402855,16743740350,50156020,50008168,1,2014-03-25,2008-12-18,女,5.27
60290489,40710151232,50023670,28,1,2014-12-19,2009-11-01,女,5.13
389377821,40477412693,50010555,50008168,1,2014-09-02,2014-05-20,女,0.29
387079260,20993659220,50012564,50014815,4,2014-05-02,2013-10-18,男,0.54
71850476,18905956218,50014275,50014815,1,2013-01-27,2012-05-13,男,0.71
21647086,13688663523,50013207,50008168,1,2012-10-27,2009-03-14,女,3.62
76472818,40392733996,121424027,50008168,1,2014-09-24,2012-04-25,男,2.42
38060393,14027224169,50018436,50014815,1,2012-07-07,2011-08-01,男,0.93
69203525,35212424255,50013636,50008168,1,2013-12-12,2010-01-23,男,3.89
688809898,22210716281,50023531,28,1,2013-04-10,2012-08-04,女,0.68
771449207,20922028936,50005982,50014815,1,2014-12-08,2014-06-22,女,0.46
1683328510,38275805698,121394024,50008168,1,2014-07-11,2013-08-17,男,0.9
21137271,17691567559,50013636,50008168,1,2012-11-22,2011-02-04,男,1.8
1766969850,41161458583,50013636,50008168,1,2014-09-21,2013-06-13,女,1.27
74459175,13155318835,50012564,50014815,5,2014-07-20,2013-03-09,女,1.36
877518892,36499367185,50012475,28,1,2014-05-14,2014-03-04,男,0.19
80512596,36131873399,50012363,122650008,1,2014-02-20,2013-02-08,女,1.03
140860418,24679988724,50012431,50014815,1,2014-11-02,2013-12-02,女,0.92
152076304,14665138835,50016243,28,1,2013-02-17,2008-08-19,女,4.5
109907629,6009465208,50014250,28,1,2013-02-17,2010-02-18,男,3.0
55522687,8159654162,50012456,50014815,1,2014-04-29,2013-12-15,男,0.37
854053048,35774477574,50010549,50008168,1,2013-11-11,2011-05-24,男,2.47
728180676,39589756565,121408024,50008168,1,2014-11-26,2010-12-12,女,3.96
310635877,41262741580,50010566,50008168,1,2014-10-12,2013-03-21,女,1.56
89800466,8835103504,50023661,28,1,2012-08-28,2011-03-31,女,1.41
1830529477,24198240503,121540027,28,1,2014-08-02,2013-06-17,女,1.13
155969997,16983951706,50012451,50008168,1,2012-09-24,2012-05-05,女,0.39
891736786,37968733758,50013207,50008168,1,2014-08-03,2012-06-28,男,2.1
131325713,23943612874,50013636,50008168,1,2013-04-16,2011-04-29,女,1.97
870668820,9390785457,50006520,50014815,6,2014-11-25,2014-02-11,男,0.79
1869728066,17629298588,50006099,50014815,1,2014-05-30,2013-07-21,男,0.86
655834471,18860456727,50006843,38,1,2012-10-14,2012-04-03,女,0.53
511889597,20026407554,50013207,50008168,1,2013-07-05,2011-11-06,男,1.66
366240547,10380868910,50006521,50014815,3,2013-07-19,2009-11-06,女,3.7
93332442,37317558555,50013207,50008168,1,2014-03-19,2011-11-02,女,2.38
142427984,37967196751,50013207,50008168,1,2014-04-23,2011-07-21,女,2.76
1643805171,37802896330,121394024,50008168,1,2014-09-01,2014-05-09,男,0.32
1103802043,37076000628,50023514,28,1,2014-04-24,2013-03-01,男,1.15
1730315664,13155318835,50012564,50014815,5,2015-02-05,2012-06-29,女,2.61
75104744,15809019524,121394024,50008168,1,2014-05-13,2014-03-15,男,0.16
196293483,18654493396,50023670,28,1,2013-09-04,2010-01-17,男,3.63
789872417,41358926135,50010544,50008168,1,2015-01-06,2009-08-05,女,5.42
369840982,24537752535,50018436,50014815,1,2013-08-02,2013-03-09,男,0.4
10642245,14109039851,50006843,38,1,2013-06-17,2013-02-13,女,0.34
92590396,21167235111,50013207,50008168,1,2013-07-06,2012-07-17,男,0.97
127451512,36512326995,50013207,50008168,1,2013-12-17,2012-12-12,女,1.01
381387022,19046999290,50006041,50014815,1,2014-03-04,2013-04-01,男,0.92
23256752,19386943590,121398041,28,1,2014-05-13,2012-07-12,男,1.84
82248938,41229697286,121462023,50008168,1,2015-01-21,2014-12-30,女,0.06
180332213,38758204657,50007011,50008168,1,2014-07-25,2009-12-03,女,4.64
460971987,10082122933,50013881,28,1,2012-07-05,2011-10-01,女,0.76
77933013,17958495541,50023790,28,1,2013-09-10,2010-07-02,男,3.19
1033551143,36881265150,50146022,50008168,1,2014-03-30,2013-08-12,女,0.63
12155387,17990671329,50023646,28,1,2013-09-08,2009-08-05,男,4.1
63741599,7964426157,50018858,38,1,2012-08-16,2011-03-24,女,1.4
70231555,14518073759,50018704,50014815,1,2012-07-24,2012-02-23,女,0.42
84547855,17551664840,50013711,50008168,1,2012-11-13,2007-08-08,女,5.27
631917779,20812756384,50018821,38,3,2013-07-23,2012-10-23,男,0.75
26188351,15604654059,50013636,50008168,1,2012-08-12,2010-03-29,女,2.38
50238258,24784096636,50018412,50014815,1,2013-05-14,2010-12-06,男,2.44
207508450,16520257539,211122,38,1,2013-01-03,2012-02-20,男,0.87
525892484,38613126621,121462075,50008168,1,2014-05-14,2013-06-19,男,0.9
138121253,15385184597,251725,28,1,2013-08-26,2011-03-03,男,2.48
410161398,21644451280,50010558,50008168,1,2013-08-09,2007-05-06,男,6.27
394567091,13742083558,50013636,50008168,1,2012-10-31,2008-10-16,女,4.04
646222766,15745598713,50013636,50008168,1,2013-04-01,2010-02-28,女,3.09
1038480421,21592283484,50012485,50014815,1,2013-09-01,2013-02-08,男,0.56
330386953,19737728033,50006042,50014815,1,2012-10-05,2011-02-10,女,1.65
645557,18250831986,50018615,38,1,2012-12-13,2012-02-07,女,0.85
441486929,40049728542,50012359,122650008,1,2014-09-17,2012-11-28,男,1.8
141999400,16683723491,50023514,28,1,2013-12-28,2012-08-17,男,1.36
392508254,27175560420,50010536,50008168,1,2013-08-27,2009-08-09,女,4.05
186849644,16011345799,50012365,122650008,1,2013-11-14,2010-11-15,男,3.0
746105695,35032052704,50010544,50008168,1,2014-12-06,2013-06-27,男,1.44
408325776,36329990892,50007011,50008168,1,2014-06-16,2014-05-05,女,0.12
729828346,8680970096,50016704,50022520,1,2013-01-29,2013-01-07,男,0.06
97496056,27398884617,50012451,50008168,1,2013-11-07,2011-11-17,女,1.98
691470382,19422455983,50010558,50008168,1,2013-06-02,2013-04-07,女,0.15
33580636,18099804498,50011993,28,1,2013-07-31,2011-01-02,女,2.58
779107498,10804672538,251725,28,1,2013-07-05,2009-09-28,女,3.77
84835944,9572765527,50018831,50014815,1,2012-10-08,2011-10-08,女,1.0
53433471,18443716949,251725,28,1,2013-06-17,2012-09-03,男,0.79
57970535,40454371694,50013636,50008168,1,2014-10-04,2013-01-14,男,1.72
290538796,40879182928,50132021,50008168,1,2014-10-20,2011-05-20,男,3.42
65935243,16626561512,50013874,28,1,2013-04-24,2006-06-16,男,6.86
69057729,41329822560,50018831,50014815,1,2015-01-27,2011-01-05,男,4.06
1049355963,3846280641,50012366,122650008,1,2012-12-12,2012-07-02,女,0.45
81094748,24396708468,50012364,122650008,1,2014-07-10,2009-03-23,女,5.3
109404219,42233164199,121484062,50008168,1,2014-12-02,2007-04-09,女,7.65
761265678,17004072939,50016704,50022520,1,2015-01-23,2013-09-27,男,1.32
136451900,18106855904,50132021,50008168,1,2013-09-21,2012-10-18,女,0.93
48922355,18668522144,50013711,50008168,1,2013-07-06,2011-07-15,女,1.98
767800373,40346552484,50010557,50008168,1,2014-09-15,2012-06-08,女,2.27
91156811,16420656795,50156020,50008168,1,2013-08-02,2012-05-25,女,1.19
352890947,12581814608,50012451,50008168,1,2013-11-16,2010-12-01,女,2.96
23927133,9566799856,50016243,28,1,2013-01-21,2008-10-29,女,4.23
844344519,16984049478,121540027,28,1,2014-10-23,2012-02-10,男,2.7
65079983,39395316554,50012564,50014815,1,2014-06-10,2013-08-04,男,0.85
96476817,16782984369,50010555,50008168,1,2013-02-17,2012-08-13,女,0.52
441460285,16470498466,50026456,50022520,1,2013-11-11,2013-10-23,男,0.05
27595882,9209901980,50013711,50008168,1,2013-05-21,2010-03-29,男,3.15
133647926,10864011676,50011847,50022520,1,2013-10-03,2013-09-25,男,0.02
62395309,35832748656,50010536,50008168,1,2013-11-13,2011-12-12,男,1.92
2080304899,18692478396,50012442,50008168,1,2014-05-04,2010-07-13,女,3.81
39645715,23645720507,50023663,28,1,2013-10-26,2013-01-22,男,0.76
11503702,19837354550,50018825,38,1,2013-08-26,2012-08-26,男,1.0
88830644,37935777608,50013636,50008168,1,2014-06-26,2014-03-25,男,0.25
262823764,19850745502,50008895,28,1,2014-04-17,2012-09-13,男,1.59
373105196,35127116589,50006820,28,1,2014-12-21,2014-01-03,男,0.96
672265151,5587503865,50006602,50008168,1,2013-03-10,2012-11-28,女,0.28
447609368,16086781316,50010557,50008168,1,2012-11-11,2011-11-15,男,0.99
1793514014,37361737960,50013207,50008168,1,2014-07-11,2013-06-25,女,1.04
376464964,37010642083,50018831,50014815,1,2015-01-30,2014-08-24,女,0.44
1942584506,39661606531,121394024,50008168,1,2014-10-27,2014-04-05,男,0.56
276246305,14511867259,50006602,50008168,1,2012-09-07,2010-10-10,女,1.91
406935827,35146292682,50013175,28,1,2014-03-24,2013-12-30,男,0.23
404254046,37521619252,50010566,50008168,1,2014-03-24,2009-01-11,女,5.2
58244867,15407281853,50012451,50008168,1,2012-10-29,2010-10-15,男,2.04
812347802,25308408488,50018436,50014815,1,2013-11-18,2013-03-19,女,0.67
385231417,35252562356,50012367,122650008,1,2013-11-18,2011-11-22,男,1.99
163954748,41204572991,50012365,122650008,1,2014-10-18,2013-06-16,女,1.34
70069665,15962074584,50007011,50008168,1,2012-12-12,2010-04-15,女,2.66
1658032434,26426216668,50009547,50014815,1,2014-01-10,2012-10-22,男,1.22
14785577,19390785189,50011993,28,1,2013-09-11,2008-08-20,女,5.06
339355276,24197216809,50010558,50008168,1,2014-05-25,2013-08-31,男,0.73
117002455,20262893195,50013711,50008168,1,2014-03-27,2011-04-25,女,2.92
135519929,25760364628,50013207,50008168,1,2014-03-28,2012-02-26,男,2.08
648241169,13586455878,50018436,50014815,1,2014-09-15,2013-10-05,女,0.95
686047242,36781757986,50012361,122650008,2,2014-09-15,2010-03-04,女,4.54
69106930,14652034564,50013711,50008168,1,2012-07-16,2010-06-01,女,2.13
46239667,14174510205,50018821,38,1,2014-10-14,2011-09-16,男,3.08
94577459,12881851566,50023790,28,10,2013-09-14,2012-07-06,女,1.19
405674478,26910624143,50013636,50008168,1,2013-09-07,2012-10-28,男,0.86
118300134,23594708318,50013636,50008168,1,2013-05-04,2011-05-03,女,2.01
1743387086,43539568980,50010538,50008168,1,2015-01-31,2012-10-13,女,2.3
706851515,20291388724,50010557,50008168,1,2012-10-31,2007-08-17,女,5.21
43270534,17064575657,50012442,50008168,1,2014-11-27,2014-04-10,男,0.63
69889555,13023273876,50023591,50022520,1,2012-11-30,2010-11-11,女,2.05
69889555,25137540538,50006602,50008168,1,2014-05-24,2010-11-11,女,3.53
2118737046,42036193982,50018831,50014815,1,2014-11-28,2014-04-11,男,0.63
718935048,39660631632,50006100,28,1,2014-08-31,2012-10-28,女,1.84
411347539,14601864164,50014277,50014815,1,2013-01-02,2012-09-04,男,0.33
279722190,15971432984,50012361,122650008,1,2014-02-25,2009-03-18,女,4.95
78962691,37551736045,50012363,122650008,1,2014-06-04,2013-02-18,女,1.29
78135508,40701170667,50013636,50008168,1,2014-11-11,2011-11-05,男,3.02
52744851,17440629603,50010236,50014815,1,2013-04-01,2012-08-22,男,0.61
859624068,15421138219,50013207,50008168,1,2012-09-24,2011-08-24,男,1.09
1041892321,8365793861,211122,38,2,2013-09-17,2012-08-01,女,1.13
229407174,16630334492,50011993,28,1,2013-09-10,2008-12-23,女,4.72
771784864,16243586211,50012363,122650008,1,2012-11-13,2012-08-24,女,0.22
352463907,38798532956,50012364,122650008,1,2014-05-18,2011-04-02,女,3.13
1973092345,40689679805,50010549,50008168,1,2014-12-17,2003-03-03,女,11.8
1783121841,19858743927,50013636,50008168,1,2013-08-27,2004-03-23,女,9.44
603123248,39784731013,50018831,50014815,1,2014-07-16,2013-11-21,女,0.65
593517038,16377441164,50010555,50008168,1,2013-01-30,2012-06-26,男,0.6
